peter:pe,peter
ray:pe,ray
dana:pe,dana
kazunori:pe,stacy
matteo:pe,jesse
shiqi:pe,shiqi
jivko:pe,jivko
stacy:pe,aishwarya
katie:pe,rodolfo
subha:pe,scott
coffeecounter:sc,coffee
coffee:it,coffee
trashcan:it,juice
hamburger:it,hamburger
phone:it,chips
calendar:it,muffin
l3_402:ro,
l3_404:ro,l3_502
l3_416:ro,l3_404
l3_418:ro,l3_414b
l3_420:ro,l3_420
l3_422:ro,
l3_430:ro,
l3_432:ro,l3_432
l3_436:ro,l3_414b
l3_428:ro,
l3_426:ro,
l3_414:ro,
l3_414a:ro,
l3_414b:ro,l3_414b
l3_412:ro,
l3_502:ro,l3_414b
l3_508:ro,l3_508
l3_510:ro,l3_510
l3_512:ro,l3_512
l3_516:ro,
