60 :  
818 : all 
1853 : code 
4432 : forget 
63 : issued 
1288 : rob 
29 : four 
9535 : hath 
6484 : theaters 
6138 : tours 
7 : go 
5018 : climb 
1496 : milk 
3831 : row 
593 : peanut 
6555 : centers 
1013 : send 
9535 : created 
7 : to 
681 : program 
7686 : ti 
3128 : recycle 
2703 : sorry 
10663 : sent 
6551 : longtime 
8208 : browns 
4552 : smartphone 
4428 : appointment 
10895 : md 
81 : very 
11589 : differently 
4528 : vegas 
3867 : diary 
3563 : cellular 
378 : telling 
15 : drinking 
69 : little 
383 : bringing 
2450 : arrange 
10102 : salad 
5780 : wooden 
185 : die 
6569 : marry 
8821 : list 
45 : eve 
822 : try 
298 : item 
6555 : team 
8728 : small 
8093 : clothes 
84 : upper 
7257 : cookies 
2719 : tired 
1984 : awake 
6 : tea 
5617 : d 
1376 : past 
1 : burger 
7 : second 
4466 : design 
7099 : follow 
72 : further 
1207 : drinks 
3473 : blue 
80 : what 
2560 : snacks 
5103 : business 
2227 : giving 
4528 : sun 
854 : assistance 
8885 : resume 
1954 : remain 
348 : brink 
697 : current 
9203 : waiting 
1960 : run 
2958 : above 
4528 : new 
8728 : tips 
3398 : eves 
6484 : disney 
63 : reword 
207 : full 
5168 : chose 
2069 : clerk 
8274 : v 
83 : here 
10 : water 
7966 : met 
3990 : objects 
10103 : let 
193 : sink 
2737 : making 
2634 : along 
81 : aren't 
3891 : appears 
45 : wait 
5043 : box 
4456 : search 
6185 : colored 
6824 : ahead 
465 : items 
8274 : k 
66 : changed 
11115 : stairs 
1361 : ray's 
3992 : products 
143 : pick 
1186 : action 
6555 : military 
170 : i'm 
1957 : navigation 
755 : pillow 
2669 : thats 
9823 : motherfucking 
4528 : besides 
73 : suddenly 
3627 : cheeseburger 
5202 : marked 
2489 : feelings 
10292 : brought 
260 : put 
8870 : moron 
11829 : redo 
1958 : unit 
72 : yourself 
6555 : plot 
3435 : use 
3011 : wanted 
203 : from 
314 : proceed 
713 : would 
2307 : destination 
663 : visit 
50 : two 
4669 : throw 
2683 : few 
3151 : foster 
105 : call 
4619 : type 
319 : tell 
75 : more 
1657 : pencil 
68 : door 
11599 : holy 
4528 : relax 
5202 : clearly 
6551 : calling 
8 : stone 
199 : glass 
4528 : everywhere 
8872 : rubbish 
5017 : iii 
958 : must 
63 : me 
5444 : involve 
9370 : none 
29 : room 
9438 : thanks 
1011 : f 
430 : this 
6032 : car 
819 : work 
1818 : cat 
6483 : offers 
311 : labeled 
84 : anywhere 
3753 : nine 
80 : can 
5056 : ms 
7 : mr 
7 : meet 
6036 : parkway 
10103 : arrive 
63 : my 
831 : fetch 
6033 : address 
3459 : attain 
8651 : nearest 
9228 : crazy 
3184 : hamburger 
155 : thirsty 
152 : give 
6138 : household 
5164 : didn't 
595 : fuck 
4467 : high 
6551 : heard 
53 : something 
83 : want 
5631 : handle 
5868 : organizer 
5197 : times 
3626 : information 
29 : needs 
6484 : united 
440 : goal 
3872 : thing 
889 : provide 
5018 : handover 
137 : six 
9243 : nuts 
4177 : ledger 
3841 : machine 
83 : how 
3827 : fourth 
83 : answer 
2735 : instead 
81 : intelligent 
9532 : doesn't 
105 : pizza 
